SubRegion,District,n_ind,S_count,N_alleles,pS_raw,malaria,malaria10
Karamoja,Abim,280,54,560,0.09642857142857143,0.4967319965362549,4.967319965362549
Karamoja,Amudat,87,9,174,0.05172413793103448,0.1779797077178955,1.779797077178955
Karamoja,Kaabong,214,10,428,0.02336448598130841,0.3739858567714691,3.739858567714691
Karamoja,Kotido,190,20,380,0.05263157894736842,0.4661177694797516,4.661177694797516
Karamoja,Moroto,149,24,298,0.08053691275167785,0.31781911849975586,3.1781911849975586
Karamoja,Nakapiripirit,64,4,128,0.03125,0.2937038242816925,2.937038242816925
Karamoja,Napak,202,19,404,0.04702970297029703,0.4579804241657257,4.579804241657257
Kigezi,Kabale,1176,30,2352,0.012755102040816327,0.04756081104278564,0.47560811042785633
Kigezi,Kanungu,844,38,1688,0.022511848341232227,0.09444484114646912,0.9444484114646912
Kigezi,Kisoro,461,18,922,0.019522776572668113,0.07476963847875595,0.7476963847875595
Kigezi,Rubanda,100,1,200,0.005,0.06240332126617431,0.624033212661743
Kigezi,Rukiga,100,13,200,0.065,0.06153361871838569,0.6153361871838569
Kigezi,Rukungiri,1291,49,2582,0.018977536793183578,0.10239750891923904,1.0239750891923904
Lango,Alebtong,351,98,702,0.1396011396011396,0.37267130613327026,3.7267130613327026
Lango,Amolatar,550,101,1100,0.09181818181818181,0.2756354808807373,2.756354808807373
Lango,Apac,1037,244,2074,0.11764705882352941,0.37258410453796387,3.7258410453796387
Lango,Dokolo,482,100,964,0.1037344398340249,0.28004974126815796,2.8004974126815796
Lango,Kole,537,119,1074,0.11080074487895716,0.4443455636501312,4.443455636501312
Lango,Lira,1878,431,3756,0.11474973375931842,0.3868447244167328,3.868447244167328
Lango,Otuke,531,121,1062,0.11393596986817325,0.41425997018814087,4.142599701881409
Lango,Oyam,1082,237,2164,0.10951940850277264,0.4401627480983734,4.401627480983734
North Buganda,Buikwe,1763,326,3526,0.09245604083947816,0.17936712503433228,1.7936712503433228
North Buganda,Buvuma,428,71,856,0.08294392523364486,0.2255258858203888,2.255258858203888
North Buganda,Kayunga,791,157,1582,0.09924146649810367,0.2919672429561615,2.919672429561615
North Buganda,Kiboga,818,123,1636,0.07518337408312958,0.16064992547035217,1.6064992547035217
North Buganda,Kyankwanzi,324,50,648,0.07716049382716049,0.1842610239982605,1.842610239982605
North Buganda,Luwero,98,15,196,0.07653061224489796,0.2086586952209473,2.0865869522094727
North Buganda,Mityana,1326,186,2652,0.07013574660633484,0.13954569399356842,1.3954569399356842
North Buganda,Mubende,2132,246,4264,0.057692307692307696,0.19085700809955597,1.9085700809955597
North Buganda,Mukono,1668,236,3336,0.07074340527577938,0.17430613934993744,1.7430613934993744
North Buganda,Nakaseke,646,98,1292,0.07585139318885449,0.1873047798871994,1.873047798871994
North Buganda,Nakasongola,605,122,1210,0.10082644628099173,0.24592606723308563,2.4592606723308563
South Buganda,Bukomansimbi,679,101,1358,0.0743740795287187,0.14123620092868805,1.4123620092868805
South Buganda,Butambala,517,81,1034,0.07833655705996131,0.11542228609323502,1.1542228609323502
South Buganda,Gomba,514,68,1028,0.06614785992217899,0.15815718472003937,1.5815718472003937
South Buganda,Kalangala,663,88,1326,0.06636500754147813,0.14657732844352722,1.4657732844352722
South Buganda,Kalungu,1022,152,2044,0.07436399217221135,0.12948931753635406,1.2948931753635406
South Buganda,Kyotera,99,8,198,0.04040404040404041,0.1243121773004532,1.2431217730045319
South Buganda,Lwengo,872,98,1744,0.05619266055045872,0.13755017518997192,1.3755017518997192
South Buganda,Lyantonde,709,61,1418,0.04301833568406206,0.1460428237915039,1.460428237915039
South Buganda,Masaka,2398,337,4796,0.07026688907422853,0.1248837560415268,1.248837560415268
South Buganda,Mpigi,1143,138,2286,0.06036745406824147,0.11555668711662292,1.1555668711662292
South Buganda,Rakai,2323,380,4646,0.08179078777442962,0.12138737738132475,1.2138737738132475
South Buganda,Wakiso,4413,589,8826,0.06673464763199638,0.12223345786333084,1.2223345786333084
Teso,Amuria,672,135,1344,0.10044642857142858,0.40889060497283936,4.0889060497283936
Teso,Bukedea,371,48,742,0.0646900269541779,0.3196195960044861,3.196195960044861
Teso,Kaberamaido,616,104,1232,0.08441558441558442,0.2591004967689514,2.591004967689514
Teso,Katakwi,589,96,1178,0.08149405772495756,0.4859619140625,4.859619140625
Teso,Kumi,460,71,920,0.07717391304347826,0.3818301856517792,3.8183018565177917
Teso,Ngora,309,68,618,0.11003236245954692,0.3589201867580414,3.589201867580414
Teso,Serere,551,115,1102,0.10435571687840291,0.300309419631958,3.00309419631958
Teso,Soroti,983,184,1966,0.0935910478128179,0.36256104707717896,3.6256104707717896
Tooro,Bundibugyo,409,98,818,0.1198044009779951,0.16382521390914917,1.6382521390914917
Tooro,Bunyangabu,100,9,200,0.045,0.1427290141582489,1.427290141582489
Tooro,Kabarole,3135,312,6270,0.049760765550239235,0.16575215756893158,1.6575215756893158
Tooro,Kamwenge,1068,66,2136,0.03089887640449438,0.17305557429790497,1.7305557429790497
Tooro,Kasese,1314,143,2628,0.05441400304414003,0.11687344312667848,1.1687344312667847
Tooro,Kyegegwa,894,89,1788,0.049776286353467564,0.20650990307331085,2.0650990307331085
Tooro,Kyenjojo,1862,193,3724,0.05182599355531686,0.1931486874818802,1.9314868748188019
Tooro,Ntoroko,312,38,624,0.060897435897435896,0.1670159101486206,1.670159101486206
West Nile,Adjumani,338,48,676,0.07100591715976332,0.28586792945861816,2.8586792945861816
West Nile,Arua,1073,137,2146,0.06383970177073625,0.23646673560142517,2.3646673560142517
West Nile,Koboko,317,38,634,0.05993690851735016,0.21142740547657013,2.1142740547657013
West Nile,Maracha,100,4,200,0.02,0.21625743806362152,2.162574380636215
West Nile,Moyo,261,25,522,0.04789272030651341,0.1990927755832672,1.9909277558326721
West Nile,Nebbi,910,183,1820,0.10054945054945055,0.3614446520805359,3.614446520805359
West Nile,Pakwach,98,16,196,0.08163265306122448,0.32364845275878906,3.2364845275878906
West Nile,Yumbe,312,32,624,0.05128205128205128,0.22005468606948853,2.2005468606948853
West Nile,Zombo,409,50,818,0.061124694376528114,0.33246123790740967,3.3246123790740967
